# 3D points
# X Y Z R G B
-1.174871 -4.081512 4.905520 103 76 60
14.390991 1.184843 6.099600 61 57 51
-11.134138 -3.863899 6.416865 221 219 199
-11.134138 -3.863899 6.416865 221 219 199
9.355456 -1.202091 5.272852 215 217 214
9.174837 -2.423542 5.089337 189 206 208
17.224945 1.578411 7.299445 44 34 24
-5.550236 -2.697796 5.215608 213 200 195
-5.866723 -2.113819 5.184849 192 181 176
-0.235119 -1.817134 5.970767 0 5 7
-5.078345 -2.500092 5.256138 212 196 190
-5.014744 -3.145292 5.234438 12 0 0
-4.842375 -2.460801 5.225555 202 189 184
10.524097 0.468541 4.751742 22 30 5
6.713300 -2.646118 5.026223 186 206 211
12.415137 0.461807 6.054212 54 57 37
12.415137 0.461807 6.054212 54 57 37
6.745140 -2.646766 5.025068 178 198 203
6.745140 -2.646766 5.025068 178 198 203
6.795449 -2.776821 5.029549 188 205 207
-0.416164 0.384164 5.287939 13 14 17
-123.205025 -71.040405 68.592445 74 70 62
-2.438317 -20.156679 28.032093 47 25 5
-2.438317 -20.156679 28.032093 47 25 5
-5.890975 -22.910454 33.061569 61 60 49
-1.581244 -2.150219 3.334297 38 27 20
9.436202 0.445997 5.895934 225 232 214
10.117581 -2.022017 5.172938 139 148 150
10.788707 -1.837073 5.383626 163 172 174
9.900144 -1.198625 5.286507 57 52 49
-5.348050 -2.489327 5.183335 6 2 0
12.859548 0.612848 6.087891 221 222 203
12.859548 0.612848 6.087891 221 222 203
13.016130 1.003464 6.148404 133 144 133
-4.803232 -3.048537 5.247482 201 180 178
13.016130 1.003464 6.148404 133 144 133
11.347613 -2.352869 5.189641 154 163 165
5.632977 0.226405 2.546130 229 234 210
-4.714069 0.432396 5.142162 55 55 52
12.977515 0.619916 6.090961 13 18 0
7.082359 -3.641933 5.001642 237 211 188
7.079467 -3.742242 4.999211 255 229 186
5.078988 -2.752774 4.991331 57 42 4
-5.170217 -3.202733 5.242062 220 199 199
9.636106 0.429263 5.905399 232 232 216
-0.794344 1.436025 1.423407 29 40 51
51.162003 2.223450 30.876488 6 7 0
-6.593069 -1.825372 5.114507 186 177 171
-6.750677 -3.279904 5.222863 36 29 27
-6.602934 -1.891988 5.113853 209 200 194
13.360119 1.058524 6.160509 134 174 133
13.274120 0.562668 6.093513 221 222 201
10.563705 -1.687466 5.145845 156 164 169
10.563705 -1.687466 5.145845 156 164 169
-5.495418 -0.693492 4.996124 136 132 122
13.321778 0.557291 6.097155 231 234 210
13.367138 0.531699 6.089205 27 29 1
13.367138 0.531699 6.089205 27 29 1
9.966554 -1.202843 5.144884 22 24 24
-4.765862 -3.252233 5.261467 203 182 180
11.558869 -4.148147 5.073377 14 20 23
11.558869 -4.148147 5.073377 14 20 23
-1.819444 -3.946253 4.859900 95 76 62
-4.619107 -2.823881 5.294985 196 183 180
-4.619107 -2.823881 5.294985 196 183 180
9.601387 0.095635 5.755045 209 207 185
-6.687490 -2.043103 5.090139 188 179 175
9.601387 0.095635 5.755045 209 207 185
-5.618504 -1.818030 5.113464 13 2 0
12.133961 0.469494 6.034781 47 48 27
10.396917 0.377601 5.941007 35 43 22
-6.846891 -6.537558 5.223430 27 24 28
-11.479617 -2.995445 6.319821 196 201 200
-11.479617 -2.995445 6.319821 196 201 200
11.086308 0.417599 5.975551 17 20 0
-6.903386 -2.121457 5.105073 16 9 7
-0.871077 -0.189516 2.054634 155 157 157
-6.788242 -4.950835 5.149143 31 20 27
-6.575268 -5.566597 5.015938 27 24 28
13.743136 0.766757 6.128731 206 210 193
-5.316377 -3.234656 5.252621 53 40 37
-4.699397 -2.691558 5.251043 205 189 185
-5.316377 -3.234656 5.252621 53 40 37
-6.088137 -3.281829 5.050389 43 26 29
1.121583 -0.215834 0.603872 35 43 22
-0.378850 0.419609 5.295015 5 4 7
-0.395157 0.368599 5.290147 0 0 0
13.723985 0.789240 6.126535 227 231 214
13.723985 0.789240 6.126535 227 231 214
1.098477 -0.485173 1.024497 5 15 19
-6.729789 -2.117765 5.086688 236 227 223
10.534209 -1.485452 5.189001 147 155 160
-9.009914 -2.976473 7.787923 0 0 0
-6.915223 -2.160389 5.105707 12 6 1
-6.915223 -2.160389 5.105707 12 6 1
11.276823 0.521729 5.993919 43 48 26
13.153134 0.604870 6.088197 26 29 7
12.236307 0.474354 6.042005 68 71 49
5.008540 -3.099833 4.972902 117 88 53
12.236307 0.474354 6.042005 68 71 49
5.008540 -3.099833 4.972902 117 88 53
-5.190795 -2.573912 5.236636 0 0 0
7.250619 -1.046146 3.315157 150 160 164
-11.420384 -3.017895 6.298972 9 14 13
-4.558247 -2.853973 5.294170 44 26 25
7.086419 0.275185 3.660609 82 83 64
10.038107 0.467188 5.941854 219 217 197
-4.765756 -3.157485 5.257215 43 24 26
-1.810805 -3.966799 4.863831 28 7 0
-0.066782 -1.630937 2.781811 35 25 24
13.534762 0.645286 6.101482 13 22 0
-5.188813 -3.156199 5.240775 198 180 179
10.157228 -1.481557 5.193728 142 152 156
1.826671 -2.198547 5.106511 32 40 49
9.922847 -3.305842 5.074689 172 191 201
-7.129818 -5.040845 5.162187 196 186 187
5.354301 -2.498707 5.014759 64 32 0
1.824235 -1.399024 3.183376 3 11 20
-6.030284 -5.535757 5.177081 4 1 5
-5.444929 -3.100092 5.254087 15 0 0
-5.589468 -1.837352 5.105151 179 169 157
1.508708 -1.959655 5.475503 23 27 31
11.516311 -3.585379 5.086729 181 207 213
4.878949 -3.091724 4.976576 67 47 15
11.516311 -3.585379 5.086729 181 207 213
-5.947775 -3.234844 5.047899 30 23 23
1.485933 0.250288 0.901125 219 212 194
-30.950563 9.657249 27.416758 15 1 18
0.358621 0.674601 1.533404 16 4 18
-4.894301 0.428768 5.126704 254 255 255
10.120097 0.514928 5.936891 56 60 43
10.379610 0.376223 5.942671 34 39 19
9.136290 -0.910934 5.282454 4 4 1
8.794966 -1.447578 5.143726 140 145 151
8.794966 -1.447578 5.143726 140 145 151
-35.779392 -16.849087 18.677370 253 248 250
6.535220 -2.669530 4.776319 188 198 206
-0.785965 -0.818110 1.889093 151 166 171
-1.864857 -2.453884 3.585383 16 9 7
-42.823669 -42.098431 39.514648 44 34 33
-3.078516 -1.859214 4.749193 204 198 191
-6.168482 -3.968580 4.932775 19 9 10
-12.688522 -2.869776 6.918937 166 174 164
-12.688522 -2.869776 6.918937 166 174 164
-2.020458 -2.334770 4.253421 226 232 233
-12.329861 0.306404 6.681736 198 216 213
-2.218780 -2.979630 4.661072 255 255 255
11.010694 0.382667 5.966842 33 31 11
-2.787069 0.335702 8.706187 216 220 224
8.749120 -2.306473 4.818350 199 211 217
9.087068 -1.148973 5.060472 206 211 210
9.586810 -1.157263 5.072431 202 202 197
-0.285600 -1.859851 6.086720 0 3 0
12.687892 0.578652 6.075746 0 5 0
6.353083 -2.418636 4.585772 184 203 211
6.539480 -2.515107 4.775463 190 213 220
6.539480 -2.515107 4.775463 190 213 220
-1.868111 -2.301687 3.583832 90 84 79
-1.868111 -2.301687 3.583832 90 84 79
11.657799 0.459601 6.004497 59 69 47
6.749652 -2.684379 4.783510 178 188 196
-1.736333 -2.287771 3.616178 20 17 23
10.040833 -1.681795 4.947893 145 150 156
-6.606561 -3.123383 5.219656 192 186 177
10.088385 0.443722 5.397678 46 49 27
33.626289 1.679227 18.462729 26 28 13
4.856850 -2.866798 4.689001 43 14 0
6.939753 -2.692622 4.773541 206 218 226
-1.768721 -1.958572 3.914609 4 4 12
4.762278 -2.943712 4.685861 238 225 202
4.760744 -3.012723 4.684704 216 201 179
-2.449908 -2.125383 4.646830 0 0 0
-2.449908 -2.125383 4.646830 0 0 0
-1.734934 -2.016642 3.946873 20 21 24
32.448586 -3.131038 19.387127 183 186 193
0.611414 -0.876534 1.627881 0 3 16
9.598749 -1.136158 4.883754 45 47 44
10.403982 0.369177 5.939262 33 31 11
-1.667519 -3.797822 4.660398 49 28 5
-1.667519 -3.797822 4.660398 49 28 5
-1.952201 0.510173 3.193400 23 26 33
-12.884566 -3.321920 6.982052 203 208 204
-2.210177 -3.064711 4.661641 38 26 26
-7.161057 -6.015381 5.395028 35 24 33
-12.841205 -3.312857 6.956552 203 208 204
-8.895587 -5.608117 6.988473 22 14 20
-6.881093 -2.114683 5.108704 215 208 211
-2.102190 -3.023969 4.665521 201 195 186
-6.688555 -4.891026 5.091291 35 24 33
-6.688555 -4.891026 5.091291 35 24 33
11.057899 0.397436 5.974227 239 237 217
-6.853774 -2.093308 5.112248 199 192 190
-1.935944 -2.980329 4.670079 32 26 31
-1.935944 -2.980329 4.670079 32 26 31
10.819626 0.451344 5.964767 217 218 199
-2.950193 -3.230415 5.828272 14 14 22
-7.474658 -2.063657 5.412211 181 172 164
16.078850 -2.505441 8.876857 138 146 151
-5.798511 -3.237977 5.016443 51 44 42
-2.209577 -3.026554 4.663463 7 8 11
-2.239416 -2.885957 4.660087 32 27 24
4.785887 -2.810476 4.689771 194 178 145
0.850044 1.820139 1.811655 41 23 22
-7.095135 -2.674847 5.144742 164 159 158
-2.777390 1.978655 3.129456 174 184 192
54.413715 2.511057 29.302788 4 12 0
-68.948990 11.081548 71.960983 11 13 10
1.976378 -1.667742 3.826706 25 41 52
1.976378 -1.667742 3.826706 25 41 52
-7.098287 -2.058429 5.121964 10 4 0
-7.021821 -4.975909 5.101632 182 177 176
4.776021 -2.838280 4.689319 99 77 41
5.193653 -2.358579 4.727202 97 63 22
4.725761 -2.827029 4.689291 84 53 16
-1.084253 1.124746 2.725339 1 0 12
8.445765 0.404440 4.599936 46 49 27
-1.780946 -1.950617 3.904709 1 1 9
-3.338615 -1.137722 2.562535 174 163 156
-3.036845 -2.353856 4.672270 208 209 197
-3.089467 -2.378885 4.672639 194 193 184
-3.089467 -2.378885 4.672639 194 193 184
1.973464 0.819213 5.834474 148 152 154
11.252970 0.429533 6.095057 31 32 11
-2.827501 -2.676266 4.592021 215 214 219
-4.887049 0.438630 5.085680 4 8 10
12.686973 -4.036546 4.836317 19 24 30
-3.133539 -2.458253 4.660730 155 154 143
-3.133539 -2.458253 4.660730 155 154 143
14.637610 0.878236 5.991839 39 31 18
